2026-03-30 21:48:48,936 - INFO - Loaded 4599 gGSP records from d:\Studia\Projekty\gsp-lab\results\plots\gGSP_5.0.csv
2026-03-30 21:48:49,202 - INFO - Loaded 4599 lDDT records from d:\Studia\Projekty\gsp-lab\results\lddt\finished\global_report.csv
2026-03-30 21:48:51,589 - INFO - Processing target: CR1107
2026-03-30 21:48:51,716 - INFO - 
--- Detailed data for target: CR1107 ---
2026-03-30 21:48:51,741 - INFO - 
   Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
 ts091_4  3.050 0.226 67.192 550.221    0.122  -1.000    0.000         0.146         0.93 1.000000e+00 36.65     0.152
 ts091_5  2.753 0.227 67.885 530.799    0.128   0.000    0.000         0.156         0.00 1.000000e+00 34.85     0.163
 ts097_1 16.556 0.339 17.327  35.868    0.483   0.476    0.000         0.486         0.45 2.370000e-04 42.46     0.209
 ts119_1 11.086 0.455 17.776  25.757    0.690   0.629   -1.000         0.710         3.17 5.870000e-04 24.12     0.251
 ts119_2 14.121 0.448 19.625  26.164    0.750   0.800   -1.000         0.734         2.26 1.330000e-02 26.75     0.241
 ts119_3 17.782 0.486 13.799  17.756    0.777   0.825    0.000         0.769         1.81 2.460000e-08 22.47     0.261
 ts119_4 18.151 0.486 19.142  24.991    0.766   0.778    0.000         0.763         1.81 6.460000e-03 21.20     0.224
 ts119_5 16.063 0.488 14.991  20.154    0.744   0.611    0.000         0.787         4.07 8.260000e-07 24.41     0.221
 ts125_1 34.305 0.576  7.818  10.510    0.744   0.786   -1.000         0.729         0.00 0.000000e+00 29.57     0.393
 ts125_2 34.232 0.576  7.803  10.203    0.765   0.818   -1.000         0.746         0.00 0.000000e+00 29.73     0.392
 ts125_3 25.718 0.454  9.785  14.948    0.655   0.791    0.000         0.602         0.90 7.660000e-15 33.19     0.258
 ts125_4  6.184 0.289 19.405  45.702    0.425   0.000    0.000         0.521        55.03 9.640000e-03 33.01     0.240
 ts125_5  6.251 0.296 19.348  44.543    0.434   0.000    0.000         0.528        60.37 8.850000e-03 32.37     0.235
 ts128_1 26.958 0.595 16.050  21.047    0.763   0.800    0.707         0.758        44.26 1.310000e-05 22.53     0.341
 ts128_2 26.855 0.532 17.573  22.861    0.769   0.800    0.354         0.758       110.51 3.930000e-04 24.54     0.289
 ts128_3 68.258 0.688  5.982   7.899    0.757   0.854    0.707         0.729        27.55 0.000000e+00 22.58     0.397
 ts128_4 23.291 0.508 20.382  28.399    0.718   0.730    0.000         0.714       161.12 3.610000e-02 25.07     0.300
 ts128_5 21.663 0.495 14.742  21.736    0.678   0.800    0.000         0.635        97.84 4.110000e-07 26.93     0.240
 ts131_1  4.723 0.295 51.535  94.890    0.543  -1.000   -1.000         0.629       108.65 1.000000e+00 22.76     0.174
 ts131_2  4.947 0.317 49.244  75.735    0.650  -1.000   -1.000         0.753        66.40 1.000000e+00 22.27     0.172
 ts131_3  4.708 0.304 51.104  81.137    0.630  -1.000   -1.000         0.729        75.92 1.000000e+00 23.97     0.184
 ts131_4  4.908 0.307 43.941  71.044    0.619  -1.000   -1.000         0.716        77.34 1.000000e+00 24.34     0.172
 ts131_5  5.128 0.326 37.309  63.229    0.590   0.000    0.000         0.715        68.36 1.000000e+00 23.79     0.245
 ts147_1  5.222 0.315 27.839  51.647    0.539   0.000   -1.000         0.685         1.81 9.910000e-01 21.82     0.253
 ts147_2  5.125 0.320 26.882  48.051    0.559   0.000    0.000         0.703         5.88 9.650000e-01 24.07     0.240
 ts147_3  5.016 0.312 24.443  42.185    0.579   0.000   -1.000         0.727         2.26 6.770000e-01 22.08     0.248
 ts147_4  5.153 0.311 25.652  48.600    0.528   0.000   -1.000         0.674         2.26 8.710000e-01 22.20     0.256
 ts147_5  4.932 0.321 26.067  44.065    0.592   0.000   -1.000         0.745         0.45 9.130000e-01 21.30     0.243
 ts163_1 12.732 0.455 14.290  23.318    0.613   0.458    0.000         0.661        19.45 1.100000e-07 27.81     0.249
 ts163_2 10.965 0.404 17.874  32.441    0.551   0.378    0.000         0.604        29.85 7.100000e-04 33.11     0.293
 ts163_5  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts227_1  5.204 0.316 26.554  49.018    0.542   0.000   -1.000         0.692         1.36 9.490000e-01 22.49     0.217
 ts227_2  5.147 0.311 25.567  43.220    0.592   0.000    0.000         0.739         4.52 8.610000e-01 23.52     0.207
 ts227_3  5.153 0.306 26.316  48.579    0.542   0.000    0.000         0.680         4.07 9.330000e-01 21.26     0.272
 ts227_4  5.044 0.318 25.699  43.743    0.588   0.000   -1.000         0.744         0.00 8.760000e-01 22.64     0.264
 ts227_5  4.995 0.306 24.956  46.382    0.538   0.000   -1.000         0.686         3.17 7.710000e-01 25.76     0.245
 ts229_1  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts229_2  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts229_3  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts229_4  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts229_5  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts232_1 96.188 0.725  4.515   5.544    0.814   0.866    0.500         0.804         9.50 0.000000e+00 18.32     0.564
 ts232_2 93.970 0.721  4.857   5.946    0.817   0.885    0.707         0.800         4.52 0.000000e+00 17.87     0.498
 ts232_3 70.225 0.728  5.949   7.258    0.820   0.866    0.707         0.811        12.66 0.000000e+00 18.01     0.487
 ts232_4 77.305 0.710  5.307   6.205    0.855   0.885    0.707         0.855         8.59 0.000000e+00 18.34     0.488
 ts232_5 79.631 0.721  5.023   6.295    0.798   0.866    0.500         0.781         6.33 0.000000e+00 17.87     0.473
 ts235_1  9.304 0.426 25.031  37.356    0.670   0.522   -1.000         0.714         5.43 7.840000e-01 24.54     0.214
 ts235_2  6.357 0.324 26.725  45.544    0.587   0.000   -1.000         0.705        16.28 9.580000e-01 25.21     0.156
 ts235_3  9.119 0.424 31.141  46.343    0.672   0.522    0.000         0.716         7.24 1.000000e+00 23.99     0.271
 ts235_4  9.328 0.422 28.177  42.208    0.668   0.522   -1.000         0.710        10.40 9.940000e-01 24.71     0.232
 ts235_5  8.423 0.359 19.156  32.291    0.593   0.286   -1.000         0.691         3.17 6.600000e-03 24.75     0.192
 ts238_1 10.768 0.408 18.130  29.574    0.613   0.378    0.000         0.699       155.71 1.150000e-03 28.02     0.267
 ts245_1  8.100 0.319 23.470  50.574    0.464   0.272    0.000         0.524         1.81 4.680000e-01 29.63     0.256
 ts245_2  8.511 0.324 21.335  41.129    0.519   0.267   -1.000         0.583         3.17 1.020000e-01 26.82     0.206
 ts245_3  8.877 0.344 23.617  42.819    0.552   0.316    0.000         0.611         4.07 5.000000e-01 22.27     0.214
 ts245_4  8.496 0.329 18.242  39.021    0.467   0.083    0.000         0.569         4.07 1.410000e-03 24.99     0.191
 ts245_5  5.655 0.292 19.044  39.307    0.485   0.000    0.000         0.583         9.95 5.540000e-03 24.80     0.144
 ts248_1  8.844 0.396 23.602  43.924    0.537   0.192   -1.000         0.667        11.76 4.970000e-01 20.48     0.374
 ts248_2  9.022 0.404 22.960  43.529    0.527   0.192   -1.000         0.655         8.59 3.580000e-01 22.17     0.323
 ts248_3  8.805 0.396 23.563  43.584    0.541   0.197   -1.000         0.667        11.31 4.880000e-01 20.89     0.286
 ts248_4  8.623 0.400 23.443  42.104    0.557   0.192   -1.000         0.692        10.40 4.620000e-01 21.52     0.300
 ts248_5  8.986 0.399 22.985  41.525    0.554   0.192   -1.000         0.686        16.73 3.630000e-01 21.51     0.278
 ts285_1  9.013 0.357 20.905  46.605    0.449   0.295    0.000         0.506         1.36 6.600000e-02 31.27     0.245
 ts285_2  9.319 0.356 21.094  44.088    0.478   0.343    0.000         0.527         1.36 8.060000e-02 31.16     0.252
 ts285_3  8.850 0.345 19.626  43.754    0.449   0.229    0.000         0.532         0.45 1.330000e-02 28.20     0.262
 ts285_4  9.056 0.347 21.470  46.321    0.464   0.343    0.000         0.518         2.26 1.170000e-01 29.45     0.253
 ts285_5  9.050 0.341 21.117  46.727    0.452   0.354    0.000         0.493         0.45 8.240000e-02 30.15     0.236
 ts287_1 66.915 0.680  6.691   8.474    0.790   0.854   -1.000         0.766         2.26 0.000000e+00 23.06     0.410
 ts287_2 67.223 0.673  6.483   8.211    0.790   0.854    0.000         0.766         0.45 0.000000e+00 23.05     0.419
 ts287_3 27.573 0.534 16.512  22.947    0.720   0.648    0.000         0.750         1.81 3.960000e-05 23.73     0.329
 ts287_4 66.930 0.677  6.555   8.357    0.784   0.836   -1.000         0.766         0.90 0.000000e+00 22.72     0.404
 ts287_5 29.228 0.537 15.871  22.377    0.709   0.648    0.000         0.736         0.90 8.410000e-06 23.61     0.340
 ts385_1  8.575 0.332 23.017  43.586    0.528   0.354    0.000         0.577         1.81 3.690000e-01 25.52     0.264
 ts385_2  8.511 0.324 21.335  41.129    0.519   0.267   -1.000         0.583         3.17 1.020000e-01 26.82     0.206
 ts385_3  8.877 0.344 23.617  42.819    0.552   0.316    0.000         0.611         4.07 5.000000e-01 22.27     0.214
 ts385_4  8.496 0.329 18.242  39.021    0.467   0.083    0.000         0.569         4.07 1.410000e-03 24.99     0.191
 ts385_5  5.655 0.292 19.044  39.307    0.485   0.000    0.000         0.583         9.95 5.540000e-03 24.80     0.144
 ts392_1 26.538 0.540 16.625  20.979    0.792   0.743   -1.000         0.810        19.92 5.130000e-05 26.17     0.287
 ts392_2 23.624 0.506 17.989  24.050    0.748   0.730   -1.000         0.754         9.51 8.850000e-04 27.18     0.229
 ts392_3 22.465 0.492 18.121  24.527    0.739   0.766   -1.000         0.729         4.98 1.130000e-03 26.36     0.223
 ts392_4 24.562 0.504 17.838  24.053    0.742   0.722    0.000         0.751         4.07 6.630000e-04 24.77     0.232
 ts392_5 22.444 0.484 19.575  27.291    0.717   0.730    0.000         0.713         9.95 1.240000e-02 25.30     0.239
 ts416_1 69.235 0.604  5.924   8.122    0.729   0.791    0.000         0.717        20.81 0.000000e+00 26.05     0.462
 ts416_2 35.693 0.577  7.803  10.939    0.713   0.905    0.000         0.641         9.50 0.000000e+00 28.87     0.392
 ts416_3 37.158 0.581  7.741  10.729    0.722   0.836    0.000         0.679         4.52 0.000000e+00 28.47     0.390
 ts416_4 22.187 0.444 10.167  15.619    0.651   0.640    0.000         0.655        29.00 3.940000e-14 30.03     0.241
 ts416_5 39.690 0.597  6.516   8.642    0.754   0.811    0.000         0.741        16.28 0.000000e+00 24.84     0.464
 ts434_1  5.113 0.310 24.981  43.711    0.571   0.000    0.000         0.721         2.26 7.760000e-01 24.27     0.267
 ts434_2  5.020 0.306 23.541  40.766    0.577   0.000   -1.000         0.727         1.81 4.830000e-01 23.14     0.246
 ts434_3  5.122 0.312 25.595  43.376    0.590   0.000   -1.000         0.733         1.81 8.640000e-01 21.61     0.281
 ts434_4  5.047 0.312 29.258  54.280    0.539   0.000    0.000         0.674         4.07 9.990000e-01 21.37     0.261
 ts434_5  5.141 0.314 26.241  44.533    0.589   0.000   -1.000         0.744         2.26 9.280000e-01 22.84     0.262
 ts439_1 21.854 0.489 19.332  27.726    0.697   0.544   -1.000         0.743        10.40 8.640000e-03 24.65     0.285
 ts439_2  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts439_3 10.962 0.409 19.974  33.131    0.603   0.355    0.000         0.673        21.26 2.150000e-02 26.49     0.264
 ts439_4 21.854 0.489 19.332  27.726    0.697   0.544   -1.000         0.743        10.40 8.640000e-03 24.65     0.285
 ts439_5  9.770 0.408 17.897  29.446    0.608   0.224    0.000         0.719        29.40 7.430000e-04 28.10     0.296
 ts470_1 66.443 0.565  6.616   8.738    0.757   0.791    0.000         0.761       118.23 0.000000e+00 26.69     0.381
 ts470_2 67.084 0.557  6.930   9.656    0.718   0.811    0.000         0.699        89.23 0.000000e+00 28.32     0.381
 ts470_3 74.446 0.567  6.516   9.048    0.720   0.791    0.000         0.696        95.95 0.000000e+00 28.39     0.375
 ts470_4 67.033 0.563  6.694   8.985    0.745   0.833    0.000         0.729       123.36 0.000000e+00 23.05     0.377
 ts470_5 69.850 0.568  6.103   8.229    0.742   0.800    0.000         0.721        98.83 0.000000e+00 23.50     0.420
 ts489_1 66.443 0.565  6.616   8.738    0.757   0.791    0.000         0.761       118.23 0.000000e+00 26.69     0.381
 ts489_2 67.084 0.557  6.930   9.656    0.718   0.811    0.000         0.699        89.23 0.000000e+00 28.32     0.381
 ts489_3 74.446 0.567  6.516   9.048    0.720   0.791    0.000         0.696        95.95 0.000000e+00 28.39     0.375
 ts489_4 67.033 0.563  6.694   8.985    0.745   0.833    0.000         0.729       123.36 0.000000e+00 23.05     0.377
 ts489_5 69.850 0.568  6.103   8.229    0.742   0.800    0.000         0.721        98.83 0.000000e+00 23.50     0.420
tsr01_10 28.843 0.536 16.439  23.311    0.705   0.648    0.000         0.731         0.00 3.330000e-05 23.92     0.338
 tsr01_1 65.880 0.685  6.797   8.608    0.790   0.874   -1.000         0.759         0.00 0.000000e+00 22.87     0.416
 tsr01_2 65.922 0.675  6.646   8.417    0.790   0.854   -1.000         0.766         0.00 0.000000e+00 23.47     0.416
 tsr01_3 28.132 0.530 17.203  24.395    0.705   0.629   -1.000         0.731         0.00 1.830000e-04 23.91     0.340
 tsr01_4 67.880 0.684  6.657   8.343    0.798   0.854   -1.000         0.778         0.00 0.000000e+00 23.41     0.411
 tsr01_5 66.543 0.678  6.498   8.284    0.784   0.836    0.000         0.766         0.00 0.000000e+00 22.48     0.410
 tsr01_6 27.482 0.534 16.513  22.948    0.720   0.648    0.000         0.750         0.00 3.970000e-05 23.74     0.329
 tsr01_7 66.633 0.678  6.556   8.357    0.784   0.836   -1.000         0.766         0.00 0.000000e+00 22.63     0.404
 tsr01_8 29.300 0.534 15.308  21.386    0.716   0.648    0.000         0.746         0.00 1.960000e-06 22.96     0.335
 tsr01_9 66.518 0.680  6.601   8.450    0.781   0.854    0.000         0.755         0.00 0.000000e+00 22.61     0.419
 tsr02_1  5.016 0.321 20.943  43.569    0.481   0.000    0.000         0.644        13.12 6.870000e-02 24.06     0.249
 tsr02_2  4.989 0.307 31.398  64.905    0.484   0.000   -1.000         0.661       104.12 1.000000e+00 25.45     0.272
 tsr02_3  4.678 0.287 30.185  56.478    0.534   0.000    0.000         0.722       153.43 1.000000e+00 24.23     0.207
 tsr02_4  9.019 0.376 24.325  43.294    0.562   0.316    0.000         0.648       123.08 6.530000e-01 26.12     0.261
 tsr02_5  5.071 0.318 20.911  42.103    0.497   0.000    0.000         0.661       109.25 6.640000e-02 25.23     0.250
 tsr02_6  7.979 0.384 24.265  47.517    0.511   0.211    0.000         0.622       140.14 6.410000e-01 27.88     0.261
 tsr02_7  4.569 0.290 28.883  64.084    0.451   0.000    0.000         0.610        93.99 9.980000e-01 25.44     0.208
 tsr02_8 10.441 0.371 20.146  35.738    0.564   0.183    0.000         0.687        96.88 2.690000e-02 27.94     0.233
 tsr03_1 23.839 0.509 17.991  24.052    0.748   0.730   -1.000         0.754         7.71 8.870000e-04 27.15     0.229
 tsr03_2 22.756 0.495 18.121  24.528    0.739   0.766   -1.000         0.729         3.63 1.130000e-03 26.25     0.223
 tsr03_3 24.716 0.507 17.836  24.049    0.742   0.722    0.000         0.751         2.27 6.600000e-04 24.91     0.232
 tsr03_4 22.780 0.488 19.561  27.271    0.717   0.730    0.000         0.713        10.41 1.210000e-02 25.19     0.239
 tsr03_5 27.061 0.544 16.626  20.980    0.792   0.743   -1.000         0.810        19.94 5.140000e-05 26.01     0.287
 tsr04_1 26.958 0.595 16.050  21.047    0.763   0.800    0.707         0.758        44.26 1.310000e-05 22.53     0.341
 tsr04_2 26.855 0.532 17.573  22.861    0.769   0.800    0.354         0.758       110.51 3.930000e-04 24.54     0.289
 tsr04_3 68.258 0.688  5.982   7.899    0.757   0.854    0.707         0.729        27.55 0.000000e+00 22.58     0.397
 tsr04_4 23.291 0.508 20.382  28.399    0.718   0.730    0.000         0.714       161.12 3.610000e-02 25.07     0.300
 tsr04_5 21.663 0.495 14.742  21.736    0.678   0.800    0.000         0.635        97.84 4.110000e-07 26.93     0.240
 tsr05_1 17.558 0.435 16.495  28.907    0.571   0.457    0.000         0.622        12.66 3.810000e-05 29.37     0.225
 tsr05_2 18.133 0.425 17.067  33.211    0.514   0.457   -1.000         0.543         8.59 1.370000e-04 28.96     0.222
 tsr05_3 19.754 0.450 15.591  26.706    0.584   0.487   -1.000         0.627        11.76 4.130000e-06 26.98     0.254
 tsr05_4 13.570 0.412 16.735  29.605    0.565   0.457    0.000         0.617        11.76 6.580000e-05 28.82     0.229
 tsr05_5 15.046 0.410 17.425  30.825    0.565   0.412   -1.000         0.631        13.57 2.910000e-04 25.96     0.215
 tsr05_6 15.322 0.420 17.722  33.650    0.527   0.457   -1.000         0.557        17.64 5.280000e-04 26.69     0.219
 tsr05_7 16.850 0.427 16.852  28.974    0.582   0.471    0.000         0.627        11.76 8.560000e-05 26.69     0.314
 tsr06_1 37.884 0.589  8.054  11.227    0.717   0.804    0.000         0.692       109.86 0.000000e+00 28.23     0.357
 tsr06_2 40.041 0.565  7.833  10.640    0.736   0.823    0.000         0.712        93.04 0.000000e+00 21.49     0.340
 tsr06_3 37.757 0.610 11.536  14.769    0.781   0.843    0.000         0.766        85.82 9.620000e-12 25.44     0.295
 tsr06_4 42.707 0.589  7.718  10.359    0.745   0.896    0.000         0.705       104.57 0.000000e+00 26.96     0.390
 tsr06_5 48.519 0.599  7.791  10.712    0.727   0.836   -1.000         0.687       118.79 0.000000e+00 24.05     0.354
 tsr07_1 20.087 0.434 18.170  28.349    0.641   0.719    0.000         0.612        16.73 1.240000e-03 29.09     0.282
 tsr07_2 16.608 0.423 25.815  42.206    0.612   0.693   -1.000         0.582        13.57 8.890000e-01 27.68     0.261
 tsr07_3 21.800 0.452 18.095  25.765    0.702   0.825    0.000         0.656        15.83 1.080000e-03 26.99     0.300
 tsr07_4 21.052 0.449 18.570  25.730    0.722   0.825   -1.000         0.683        12.21 2.520000e-03 25.74     0.274
 tsr07_5 19.721 0.421 20.246  28.432    0.712   0.825   -1.000         0.670        10.40 3.050000e-02 27.52     0.293
 tsr08_1 22.671 0.528 14.097  19.666    0.717   0.693    0.000         0.733         0.00 6.160000e-08 24.40     0.333
 tsr08_2 21.815 0.527 14.112  19.516    0.723   0.719    0.000         0.733         0.00 6.430000e-08 24.18     0.330
 tsr08_3 29.397 0.527 13.111  17.902    0.732   0.669    0.000         0.763         0.90 2.670000e-09 22.33     0.323
 tsr08_4 36.846 0.482  8.804  13.374    0.658   0.648    0.000         0.673         0.00 1.110000e-16 34.65     0.324
2026-03-30 21:48:51,742 - INFO - Total models with gGSP: 180
2026-03-30 21:48:51,742 - INFO - Metric lDDT: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric RMSD: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric DI_all: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric INF_all: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric INF_wc: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric INF_nwc: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric INF_stacking: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric Clash_Score: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric P-value: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric mcq: available for 180/180 models
2026-03-30 21:48:51,743 - INFO - Metric TM-score: available for 180/180 models
2026-03-30 21:48:51,794 - INFO - Clash_Score: Pearson=-0.152, Spearman=-0.011, Kendall=-0.010 (n=180)
2026-03-30 21:48:51,798 - INFO - DI_all: Pearson=0.332, Spearman=0.951, Kendall=0.808 (n=180)
2026-03-30 21:48:51,800 - INFO - INF_all: Pearson=0.672, Spearman=0.837, Kendall=0.632 (n=180)
2026-03-30 21:48:51,802 - INFO - INF_nwc: Pearson=0.228, Spearman=0.246, Kendall=0.199 (n=180)
2026-03-30 21:48:51,804 - INFO - INF_stacking: Pearson=0.426, Spearman=0.538, Kendall=0.374 (n=180)
2026-03-30 21:48:51,806 - INFO - INF_wc: Pearson=0.658, Spearman=0.933, Kendall=0.784 (n=180)
2026-03-30 21:48:51,808 - INFO - mcq: Pearson=0.249, Spearman=0.061, Kendall=0.056 (n=180)
2026-03-30 21:48:51,810 - INFO - P-value: Pearson=0.475, Spearman=0.920, Kendall=0.765 (n=180)
2026-03-30 21:48:51,812 - INFO - RMSD: Pearson=0.676, Spearman=0.927, Kendall=0.780 (n=180)
2026-03-30 21:48:51,814 - INFO - TM-score: Pearson=0.850, Spearman=0.779, Kendall=0.596 (n=180)
2026-03-30 21:48:51,816 - INFO - lDDT: Pearson=0.884, Spearman=0.966, Kendall=0.841 (n=180)
2026-03-30 21:48:51,819 - INFO - Saved correlation results to d:\Studia\Projekty\gsp-lab\results\correlations\CR1107_gGSP_correlations.csv
2026-03-30 21:48:51,820 - INFO - Processing target: CR1108
2026-03-30 21:48:51,934 - INFO - 
--- Detailed data for target: CR1108 ---
2026-03-30 21:48:51,957 - INFO - 
   Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
 ts029_1 28.344 0.591 16.287  22.927    0.710   0.758   0.0000         0.696         0.00 2.330000e-05 24.14     0.384
 ts029_2 24.871 0.441 16.142  28.905    0.558   0.655   0.0000         0.526         0.00 1.640000e-05 31.47     0.268
 ts035_1 15.422 0.453 25.089  42.218    0.594   0.686  -1.0000         0.569         3.22 7.930000e-01 24.38     0.194
 ts035_2 15.473 0.442 23.600  39.954    0.591   0.649  -1.0000         0.570         1.39 4.960000e-01 24.85     0.207
 ts035_3 14.502 0.447 21.512  35.291    0.610   0.529  -1.0000         0.641         1.38 1.210000e-01 23.71     0.240
 ts035_4 14.934 0.479 23.591  36.516    0.646   0.582   0.0000         0.669         5.07 4.940000e-01 25.29     0.223
 ts035_5  8.212 0.384 24.448  54.997    0.445   0.233   0.0000         0.538         1.85 6.780000e-01 23.90     0.264
 ts054_1 35.584 0.633  6.454   7.916    0.815   0.935   0.0000         0.776         0.00 0.000000e+00 27.81     0.430
 ts054_2 35.675 0.633  6.461   8.018    0.806   0.935   0.0000         0.763         0.00 0.000000e+00 28.14     0.431
 ts054_3 36.029 0.629  6.414   8.121    0.790   0.935   0.0000         0.739         0.00 0.000000e+00 27.71     0.436
 ts054_4 51.157 0.660  6.591   8.084    0.815   0.910   0.0000         0.779         0.45 0.000000e+00 25.80     0.420
 ts054_5 49.073 0.640  6.537   8.278    0.790   0.930   0.0000         0.735         1.36 0.000000e+00 27.08     0.351
 ts081_1 23.630 0.565 13.198  17.127    0.771   0.825  -1.0000         0.761         0.00 3.560000e-09 22.71     0.329
 ts081_2 27.013 0.567 12.442  16.146    0.771   0.791  -1.0000         0.772         0.00 2.680000e-10 20.28     0.339
 ts081_3 30.725 0.577 12.098  15.830    0.764   0.825  -1.0000         0.752         0.00 7.800000e-11 19.05     0.354
 ts081_4 37.158 0.521  7.918  11.299    0.701   0.800  -1.0000         0.674         0.00 0.000000e+00 29.86     0.345
 ts091_1  2.814 0.236 57.278 489.387    0.117  -1.000  -1.0000         0.139         0.47 1.000000e+00 35.44     0.164
 ts091_2  2.914 0.229 57.684 344.925    0.167   0.000  -1.0000         0.193         0.00 1.000000e+00 33.41     0.155
 ts091_3  3.083 0.236 57.270 496.068    0.115   0.000  -1.0000         0.135         0.93 1.000000e+00 28.91     0.142
 ts091_4  2.829 0.232 60.844 331.814    0.183  -1.000  -1.0000         0.222         0.00 1.000000e+00 31.82     0.156
 ts091_5  2.911 0.244 56.824 369.153    0.154  -1.000  -1.0000         0.177         0.93 1.000000e+00 32.33     0.160
 ts097_1 12.027 0.356 29.456  57.531    0.512   0.525   0.0000         0.507         0.90 9.990000e-01 35.28     0.183
